id,name,bday,location,final,p
0,Edward G. Robinson,1893-12-12,Bucharest,upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Edward_G._Robinson_-_still.jpg/330px-Edward_G._Robinson_-_still.jpg,"Edward G. Robinson (born Emanuel Goldenberg; Yiddish: ײמאַנועל גאָלדענבערג‎; December 12, 1893 – January 26, 1973) was an American actor of stage and screen during Hollywood's Golden Age. He appeared in 40 Broadway plays and more than 100 films during a 50-year career[1] and is best remembered for his tough-guy roles as gangsters in such films as Little Caesar and Key Largo."
1,Naseeruddin Shah,1949-07-20,"Barabanki, Uttar Pradesh",upload.wikimedia.org/wikipedia/commons/thumb/0/00/Naseeruddin_Shah.jpg/330px-Naseeruddin_Shah.jpg,"Naseeruddin Shah is an Indian film and stage actor and director in the Hindi language film industry. He is considered among the finest actors of India and is a prominent figure in Indian parallel cinema.[1][not in citation given] He has won numerous awards in his career, including three National Film Awards, three Filmfare Awards and an award at the Venice Film Festival. The Government of India has honoured him with the Padma Shri and the Padma Bhushan awards for his contributions to Indian cinema.[2]"
2,Louise Fletcher,1934-07-22,"Birmingham, Alabama",upload.wikimedia.org/wikipedia/commons/thumb/8/89/Louise_Fletcher_1959_crop.jpg/330px-Louise_Fletcher_1959_crop.jpg,"Fletcher had her acting debut in the television series Yancy Derringer in 1958. She guest starred in the television series Wagon Train in 1959 before making her film debut in A Gathering of Eagles in 1963. In 1974, after a decade-long hiatus from acting in which she raised a family, Fletcher appeared in Robert Altman's Thieves Like Us. The following year, Fletcher gained international recognition for her performance as Nurse Ratched in the drama film One Flew Over the Cuckoo's Nest (1975), for which she won the Academy Award for Best Actress, BAFTA Award for Best Actress in a Leading Role and Golden Globe Award for Best Actress. She became only the third actress to ever win an Academy Award, BAFTA Award and Golden Globe Award for a single performance, after Audrey Hepburn and Liza Minnelli. Other notable film roles include Exorcist II: The Heretic (1977), Brainstorm (1983), Firestarter (1984), Flowers in the Attic (1987), 2 Days in the Valley (1996), and Cruel Intentions (1999)."
3,Philip Seymour Hoffman,1967-07-23,"Fairport, New York",upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Philip_Seymour_Hoffman_2011.jpg/330px-Philip_Seymour_Hoffman_2011.jpg,"Philip Seymour Hoffman (July 23, 1967 – February 2, 2014) was an American actor, director, and producer. Best known for his distinctive supporting and character roles – typically lowlifes, eccentrics, bullies, and misfits – Hoffman acted in many films from the early 1990s until his death in 2014."
4,Prasoon Joshi,1971-09-16,,upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Prasoon_Joshi_%28Cropped%29.png/330px-Prasoon_Joshi_%28Cropped%29.png,"Prasoon Joshi (born 16 September 1971) is an Indian lyricist, screenwriter, poet and marketer. He is the  CEO of McCann World group India and Chairman (Asia Pacific), a subsidiary of the global marketing firm McCann Erickson. He was appointed as the Chairperson of the Central Board of Film Certification on 11 August 2017."
5,Jordan Belfort,1962-07-09,Queens,upload.wikimedia.org/wikipedia/commons/8/89/Jordan_Belfort_-_May_30%2C_2010.jpg,
6,Saurabh Shukla,1963-03-05,Gorakhpur,upload.wikimedia.org/wikipedia/commons/thumb/6/62/Saurabh_Shukla_graces_the_screening_of_Sonata.jpg/330px-Saurabh_Shukla_graces_the_screening_of_Sonata.jpg,"Saurabh Shukla (born 5 March 1963) is an Indian film, theatre and television actor and director. He is famous for his roles in Satya (1998), Barfi! (2012), Jolly LLB (2013), Kick (2014), PK (2014), Jolly LLB 2(2017) and Raid (2018)."
7,Aida Elkashef,,,,"El-Kashef was involved in the protests at Tahrir Square, where she filmed the events of the Arab Spring as they unfolded. She was one of the first protestors to occupy Tahrir[4] where she set up a tent.[5] She also documented ""aggressive assaults against women"" that occurred during the protests[3] often risking her own personal safety.[6] El-Kashef's films of men sexually assaulting women were shown worldwide and El-Kashef and her friends vowed to fight back, carrying electric prods and knives as protection.[7] She was arrested and detained for her participation in the No Military Trials for Civilians protest.[2] El-Kashef missed the promotion of Ship of Theseus in India while she was protesting.[8] Another aspect of the protests was her involvement in filming the grief of family members who raided the Zeinhom Morgue in Cairo to see their loved ones one last time.[9]"
8,Zak Penn,1968-03-23,,upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Zak_Penn_by_Gage_Skidmore.jpg/330px-Zak_Penn_by_Gage_Skidmore.jpg,"Zak Penn (born March 23, 1968) is an American screenwriter.[1] Penn wrote and directed Incident at Loch Ness and The Grand, and co-wrote the scripts for X2, X-Men: The Last Stand and the story for The Avengers. With Michael Karnow, Penn is the co-creator of the TV series Alphas on the Syfy network.[2]"
9,Kalki Koechlin,1984-01-10,Pondicherry,upload.wikimedia.org/wikipedia/commons/thumb/6/68/Kalki_Koechlin_launches_beautifulhomes.jpg/330px-Kalki_Koechlin_launches_beautifulhomes.jpg,"Kalki Koechlin (/ˈkʌlki keɪˈklæ̃/ (listen); born 10 January 1984) is an Indian-born French actress and writer, who lives and works in India. Known for her unconventional body of work in the Hindi film industry, she is the recipient of such accolades as a National Film Award, a Filmfare, and two Screen Awards. Koechlin was conferred with the Knight of the Order of Arts and Letters by the French Minister of Culture for her contributions to cinema."
10,Taylor Russell,1994-07-18,"Vancouver, British Columbia",upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Taylor_Russell_by_Gage_Skidmore.jpg/330px-Taylor_Russell_by_Gage_Skidmore.jpg,
11,Christian Rivers,,Film director,,"Christian Rivers started his career by storyboarding Peter Jackson's Braindead right after finishing high school. He has since then continued to work for Jackson on storyboards, special effects, visual effects and splinter unit directing on The Hobbit trilogy. On King Kong, he directed the previz of the fight between King Kong and the three V-rexes. The sequence was used as the blueprint for the final version, giving Rivers a direction credit for the scene. For his work on King Kong, he won an Academy Award for Best Visual Effects.[4][5][6]"
12,Sylvester Stallone,1946-07-06,"Manhattan, New York",upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sylvester-Stallone-2014-2.jpg/330px-Sylvester-Stallone-2014-2.jpg,"Michael Sylvester Gardenzio Stallone (/stəˈloʊn/; born July 6, 1946) is an American actor, director, screenwriter, and producer. He is well known for his Hollywood action roles, including boxer Rocky Balboa in the Rocky series (1976–2018), soldier John Rambo in the five Rambo films (1982–2019), mercenary Barney Ross in the three The Expendables films (2010–2014) and structural engineer Ray Breslin in the three Escape Plan films (2013–2019). He wrote or co-wrote most of the 16 films in the first three popular franchises and directed many of them."
13,Louis Mandylor,1966-09-13,Los Angeles,,"Louis Mandylor (born Elias Theodosopoulos;[1] Greek: Ηλίας Θεοδοσόπουλος; 13 September 1966) is a Greek Australian film and television actor. He is best recognized as Nick Portokalos in My Big Fat Greek Wedding (2002), a role he reprised in the sequel My Big Fat Greek Wedding 2 (2016)."
14,Jon M. Chu,1979-11-02,"Palo Alto, California",upload.wikimedia.org/wikipedia/commons/f/fb/Jon_M._Chu_2013.jpg,"Chu was born in Palo Alto, California and grew up in nearby Los Altos. His mother, Ruth Chu was born in Taiwan and his father, Lawrence Chu was born in Sichuan.[2][3][4] Lawrence Chu is a well-known chef, and his parents own Chef Chu's, a popular restaurant in Los Altos.[5][6] He attended Pinewood School from kindergarten through 12th grade.[7] Chu married his longtime girlfriend, graphic designer Kristin Hodge, in Napa Valley on July 27, 2018. The couple already were parents to a young daughter.[8]
After making his student short, When the Kids Are Away, Chu was signed to William Morris Agency and attached to several high-profile projects. Chu was hired by Sony Pictures to direct their feature Bye Bye Birdie but Sony never green lit the film due to budget concerns. Sony recently got back into business with Chu to direct their updated version of The Great Gatsby,[9] which did not pan out but, after being purchased by Warner Bros. Pictures with Baz Luhrmann attached, developed into the 2013 film. He is in a dance crew called AC/DC or Adam/Chu Dance crew."
15,Ajith Kumar,1971-05-01,,upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ajith_Kumar_at_Irungattukottai_Race_Track.jpg/330px-Ajith_Kumar_at_Irungattukottai_Race_Track.jpg,
16,Humphrey Bogart,1899-12-25,New York City,upload.wikimedia.org/wikipedia/commons/thumb/4/44/Humphrey_Bogart_1945.JPG/330px-Humphrey_Bogart_1945.JPG,"Humphrey DeForest Bogart (/ˈboʊɡɑːrt/;[1] December 25, 1899 – January 14, 1957)[2][3] was an American film and theater actor. His performances in numerous films from the Classical Hollywood era made him a cultural icon.[4][5][6] In 1999, the American Film Institute selected him as the greatest male star of classic American cinema.[7]"
17,Bareilly Ki Barfi,2017-08-18,Ashwiny Iyer Tiwari,upload.wikimedia.org/wikipedia/en/9/97/Bareilly_Ki_Barfi_Poster.jpg,"Bareilly Ki Barfi (transl. Bareilly's Barfi) is a 2017 Indian romantic comedy film, directed by Ashwiny Iyer Tiwari. The film stars Kriti Sanon, Ayushmann Khurrana and Rajkummar Rao. It was released worldwide on 18 August 2017. The film turned out to be both a critical and a commercial success at the box office.[5][6] The story is based on the French novel The Ingredients of Love, written by Nicolas Barreau[7] The film got eight nominations at the 63rd Filmfare Awards, including Best Film, Best Supporting Actress for Seema Pahwa and won Best Director for Tiwari and Best Supporting Actor for Rao. The movie completed 70 days in theater in most centres all over India."
18,Christopher Mintz,2017-08-18,Ashwiny Iyer Tiwari,upload.wikimedia.org/wikipedia/en/9/97/Bareilly_Ki_Barfi_Poster.jpg,
19,Lamberto Maggiorani,,,,"He was a factory worker (he worked as a turner) and non-professional actor at the time he was cast in this film.[2] He earned 600,000 lire ($1,000 US) for his performance, enabling him to buy new furniture and treat his family to a vacation; but when he returned to the factory he was laid off because business was slackening and management felt it would be fairer to terminate him instead of other impoverished co-workers since he was perceived to have ""made millions"" as a movie star.[3] He found occasional work as a bricklayer, but continued to try to get roles in movies, with little success; even de Sica was reluctant to employ him as anything other than an extra.[4] Pier Paolo Pasolini gave him a bit part in the film Mamma Roma (1962) due to his iconic status in Italian cinema.[4] Cesare Zavattini, the screenwriter for Bicycle Thieves, aware of Maggiorani's predicament, wrote a screenplay about him titled ""Tu, Maggiorani"", in an attempt to demonstrate the limits of neorealist film's capacity to change the world.[4]"
20,Frank Baldwin,1842-06-26,"Manchester, Michigan",upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Frank_Baldwin_Brady-Handy_oval.png/330px-Frank_Baldwin_Brady-Handy_oval.png,"Frank Dwight Baldwin (June 26, 1842 – April 22, 1923), a native of Constantine, Michigan, and born in Manchester, Michigan, is one of only 19 servicemen to receive the Medal of Honor twice.  Baldwin received his first award for his actions during the Atlanta Campaign where he led his company in battle at Peachtree Creek and captured two commissioned officers in the American Civil War. He received his second for conspicuous bravery in 1874 during the Indian Wars. Baldwin holds the distinction of being the first recipient of the Medal of Honor in different conflicts.[citation needed] He also fought in the Philippines during the Spanish–American War and rose to the rank of major general before retiring."
21,Sagar Ballary,,,,"Sagar Ballary (born 1975) is an Indian film director, most known for his films, like Bheja Fry (2007), Bheja Fry 2 (2011) and Bhatukli(Marathi) (2014)."
22,Anjum Rajabali,1958-08-07,Talaja,upload.wikimedia.org/wikipedia/commons/thumb/1/10/Anjum_Rajbali_%28cropped%29.png/330px-Anjum_Rajbali_%28cropped%29.png,"Anjum Rajabali is a veteran Indian screenwriter and teacher. He has written films like Drohkaal (1994), Ghulam (1998), The Legend of Bhagat Singh (2002) and Raajneeti (2010). He is also known for his leadership and lobbying for the rights of Indian screenwriters, as a senior activist of the Screenwriters Association, India.[1]"
23,Irvin Kershner,1923-04-29,Philadelphia,upload.wikimedia.org/wikipedia/commons/thumb/6/64/Star_Wars_Celebration_V_-_Empire_Strikes_Back_director_Irvin_Kershner_sends_a_message_to_the_Celebration_V_crowd_%284940405009%29.jpg/330px-Star_Wars_Celebration_V_-_Empire_Strikes_Back_director_Irvin_Kershner_sends_a_message_to_the_Celebration_V_crowd_%284940405009%29.jpg,"He gained notice early in his career as a filmmaker for directing quirky, independent drama films, while working as a influential lecturer at the University of Southern California. Later in his career, he transitioned to high-budget blockbusters such as The Empire Strikes Back, the James Bond adaptation Never Say Never Again, and RoboCop 2. Through the course of his career, he received numerous accolades, and was nominated for both a Primetime Emmy Award and a Palme d'Or."
24,Pankaj Tripathi,,"Belsand, Gopalganj",upload.wikimedia.org/wikipedia/commons/thumb/5/50/Pankaj_Tripathi_World_Premiere_Newton_Zoopalast_Berlinale_2017_06.jpg/330px-Pankaj_Tripathi_World_Premiere_Newton_Zoopalast_Berlinale_2017_06.jpg,"Pankaj Tripathi is an Indian actor who appears predominantly in Hindi films. Famous for his natural acting, he debuted in 2004 with a minor role in Run and Omkara and has since worked in more than 40 films and 60 television shows.[1] Tripathi's breakthrough came in 2012 for his supporting role in the Gangs of Wasseypur film series.[2] He has since received critical appraisal for multiple films, including Fukrey (2013), Masaan (2015), Nil Battey Sannata (2016), Bareilly Ki Barfi (2017), Newton (2017), Fukrey Returns (2017) and Stree (2018). For Newton, Tripathi earned several awards including a National Film Award – Special Mention.[3]"
25,Mira Nair,1957-10-15,Rourkela,upload.wikimedia.org/wikipedia/commons/thumb/2/20/MN_main.jpg/330px-MN_main.jpg,"Mira Nair (born 15 October 1957) is an Indian-American filmmaker based in New York City.[1] Her production company, Mirabai Films, specializes in films for international audiences on Indian society, whether in the economic, social or cultural spheres. Among her best known films are Mississippi Masala, Kama Sutra: A Tale of Love, The Namesake, the Golden Lion winning Monsoon Wedding, and Salaam Bombay!, which received nominations for the Academy Award for Best Foreign Language Film and the BAFTA Award for Best Film Not in the English Language."
26,Hemendra Dandotiya,1957-10-15,Rourkela,upload.wikimedia.org/wikipedia/commons/thumb/2/20/MN_main.jpg/330px-MN_main.jpg,
27,Jason Statham,1967-07-26,"Shirebrook, Derbyshire",upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jason_Statham_2014.jpg/330px-Jason_Statham_2014.jpg,
28,Sunny Deol,1956-10-19,,upload.wikimedia.org/wikipedia/commons/d/d5/Sunny_Deol_promotes_%E2%80%98Ghayal_Once_Again%E2%80%99_in_Delhi.jpg,"Ajay Singh Deol (born 19 October 1956),[1][3] better known as Sunny Deol, is an Indian film Actor,Director,Producer and Politician known for his work in Hindi cinema. In a film career spanning over thirty five years and over hundred films, Deol has won two National Film Awards and two Filmfare Awards."
29,Sukanya,,,,"In Hindu mythology, Sukanya (Sanskrit: सुकन्या) was the daughter of Sharyati, son of Vaivasvata Manu and the wife of the great sage Chyavana.[1]"
30,Tim Blake Nelson,1964-05-11,,upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Tim_Blake_Nelson_2016.jpg/330px-Tim_Blake_Nelson_2016.jpg,"Nelson was born to a Jewish family[2][3] in Tulsa, Oklahoma, the son of Ruth (née Kaiser) Nelson,[4][5] who is a noted social activist and philanthropist in Tulsa, and Don Nelson, a geologist/wildcatter.[6][7] His maternal uncle is businessman George Kaiser.[8]"
31,Hubert Koundé,1970-12-30,,,He spent his childhood between Benin and France where he was born.
32,Jerome Flynn,1963-03-16,Bromley,upload.wikimedia.org/wikipedia/commons/thumb/0/02/Jerome_Flynn_2013_%28cropped%29.jpg/330px-Jerome_Flynn_2013_%28cropped%29.jpg,"Jerome Patrick Flynn (born 16 March 1963) is an English actor and singer. He is best known for his roles as Paddy Garvey of the King's Fusiliers in the ITV series Soldier Soldier, Fireman Kenny 'Rambo' Baines in the pilot of London's Burning, Bronn in the hit HBO series Game of Thrones, and Bennet Drake in Ripper Street."
33,Shekhar Kapur,1945-12-06,Lahore,upload.wikimedia.org/wikipedia/commons/thumb/d/db/Shekhar_kapur_02.jpg/330px-Shekhar_kapur_02.jpg,"He gained international recognition with the 1994 Bollywood film Bandit Queen, based on Mala Sen's biography of infamous Indian bandit and politician Phoolan Devi, which won the National Film Award for Best Feature Film in Hindi and Filmfare Critics Awards for Best Movie and Best Direction for that year. It was premiered in the Directors Fortnight section of the 1994 Cannes Film Festival and was screened at the Edinburgh Film Festival.[4][5]"
34,Rahul Pakala,1945-12-06,Lahore,upload.wikimedia.org/wikipedia/commons/thumb/d/db/Shekhar_kapur_02.jpg/330px-Shekhar_kapur_02.jpg,
35,Laurence Olivier,,,,
36,Olivia Wilde,1984-03-10,New York City,upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Olivia_Wilde_at_SXSW_Booksmart_Red_Carpet_%28cropped%29.jpg/330px-Olivia_Wilde_at_SXSW_Booksmart_Red_Carpet_%28cropped%29.jpg,"Olivia Jane Cockburn (born March 10, 1984),[1] known professionally as Olivia Wilde, is an American actress, model, producer, director and activist. She is known for her role as Dr. Remy ""Thirteen"" Hadley on the medical-drama television series House (2007–2012),[2] and her roles in the films Conversations with Other Women (2005), Alpha Dog (2007), Tron: Legacy (2010), Cowboys & Aliens (2011), Butter (2011), Drinking Buddies (2013), The Incredible Burt Wonderstone (2013), Rush (2013),The Lazarus Effect (2015),  Love the Coopers (2015), and Meadowland (2015).[3] In 2017, Wilde made her Broadway debut, playing the role of Julia in 1984. Her first film as director, Booksmart, is scheduled for release on May 24, 2019."
37,Frank Morgan,1890-06-01,New York City,upload.wikimedia.org/wikipedia/commons/thumb/9/90/Frank_Morgan-publicity.JPG/330px-Frank_Morgan-publicity.JPG,"Morgan was born in New York City, to Josephine Wright (née Hancox) and George Diogracia Wuppermann. He was the youngest of 11 children, and had five brothers and five sisters. The elder Mr. Wuppermann was born in Venezuela, but was brought up in Hamburg, Germany and was of German and Spanish ancestry.[2][3][4] His mother was born in the United States, of English ancestry. His brother, Ralph Morgan, was also an actor of stage and screen. The family earned their wealth distributing Angostura bitters, allowing Wuppermann to attend Cornell University, and joining Phi Kappa Psi Fraternity and the Glee Club.[5][6]"
38,Delhi Ganesh,,,,"Delhi Ganesh is an Indian film actor who mostly acts in supporting roles Tamil cinema. He has acted in more than 600 films from 1976 to present. Before films, he was a member of the Delhi-based drama troupe, Dakshina Bharata Nataka Sabha. Ganesh served in the Indian Air Force from 1964 to 1974 before quitting in favour of films.[2] He was given the stage name Delhi Ganesh by K. Balachander.[3]"
39,Nag Ashwin,,Hyderabad,upload.wikimedia.org/wikipedia/commons/thumb/1/16/Nag_Ashwin.jpg/330px-Nag_Ashwin.jpg,"Nag Ashwin Reddy is an Indian film director and screenwriter from  Hyderabad, Telangana. Yevade Subramanyam was his first feature film as a director.[1]"
40,Gwyneth Paltrow,1972-09-27,Los Angeles,upload.wikimedia.org/wikipedia/commons/thumb/4/42/GwynethPaltrowByAndreaRaffin2011.jpg/330px-GwynethPaltrowByAndreaRaffin2011.jpg,"Paltrow gained early notice for her work in films, such as Seven (1995), Emma (1996), Sliding Doors, A Perfect Murder and Shakespeare in Love (all 1998). Her other film credits include The Talented Mr. Ripley (1999), The Royal Tenenbaums and Shallow Hal (both 2001), Sylvia (2003), Proof (2005), and Two Lovers (2008). She won a Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series in 2011 for her five-episode role as Holly Holliday on the Fox television series Glee. In the Marvel Cinematic Universe, Paltrow portrays the character Pepper Potts, beginning with Iron Man (2008)."
41,Marion Mack,1902-04-08,"Mammoth, Utah",upload.wikimedia.org/wikipedia/commons/thumb/4/43/KeatonMack.PNG/330px-KeatonMack.PNG,"Mack was born Joey Marion McCreery in Mammoth, Utah. After graduating from high school, she sent a letter and a photograph to director Mack Sennett expressing her desire to be an actress. Sennett's manager wrote back informing Mack that they would give her an interview if she ever came to Hollywood. Mack, her father and her stepmother traveled to Hollywood shortly thereafter and sneaked into Sennett's Keystone Studios. Much to her father's disapproval, Mack was hired by Sennett as a ""bathing beauty"" for $25 a week.[1] Her film debut was in On a Summer Day (1921).[2]"
42,Willem Dafoe,1955-07-22,"Appleton, Wisconsin",upload.wikimedia.org/wikipedia/commons/thumb/3/31/Willem_Dafoe_at_Lisbon_Film_Festival_2017_%28cropped_%26_retouched%29.jpg/330px-Willem_Dafoe_at_Lisbon_Film_Festival_2017_%28cropped_%26_retouched%29.jpg,"William James ""Willem"" Dafoe[1] (born July 22, 1955) is an American actor. A highly prolific character actor, Dafoe has received multiple awards and nominations, including four Academy Award nominations. Dafoe has frequently collaborated with filmmakers Paul Schrader, Abel Ferrara, Lars von Trier, and Wes Anderson."
43,Terrence Howard,1969-03-11,Chicago,upload.wikimedia.org/wikipedia/commons/thumb/2/28/Terrence_Howard_-_Monte-Carlo.jpg/330px-Terrence_Howard_-_Monte-Carlo.jpg,"Terrence Dashon Howard (born March 11, 1969) is an American actor and singer. Having his first major roles in the 1995 films Dead Presidents and Mr. Holland's Opus, Howard broke into the mainstream with a succession of television and cinema roles between 2004 and 2006. He was nominated for the Academy Award for Best Actor for his role in Hustle & Flow."
44,Darren Lemke,,School of Visual Arts,,"Lemke was born in 1969/1970. He went to Paramus Catholic High School in Paramus, New Jersey. After high school, he attended the School of Visual Arts in Manhattan, New York to study screenwriting.[1] In 1997, he sold two pitches to Touchstone Pictures for Tony Scott to direct;[2] one of the pitches became Gemini Man, which is scheduled to be released on October 4, 2019.[3] In 2005, Lemke pitched the idea of adapting the English fairy tale ""Jack and the Beanstalk"" with computer-generated imagery. By 2013, Jack the Giant Slayer was directed by Bryan Singer.[4]"
45,Urmi Juvekar,,,,"Urmi Juvekar is an Indian screenwriter and documentary filmmaker best known for writing the screenplays of Oye Lucky! Lucky Oye! (2008), I Am (2010) and Shanghai (2012)."
46,Sonakshi Sinha,1987-06-02,,upload.wikimedia.org/wikipedia/commons/thumb/0/02/Sonakshi_Sinha_-_IIFA_2017_Green_Carpet_%2835586491213%29_%28cropped%29.jpg/330px-Sonakshi_Sinha_-_IIFA_2017_Green_Carpet_%2835586491213%29_%28cropped%29.jpg,"Sonakshi Sinha (pronounced [soːnaːkʂiː sɪnɦaː]; born 2 June 1987[1]) is an Indian film actress.[2] She is the daughter of actors Shatrughan Sinha and Poonam Sinha. After working as a costume designer in her early career, Sinha made her acting debut in the action-drama film Dabangg (2010), which won her the Filmfare Award for Best Female Debut.[3]"
47,Marsai Martin,2004-08-14,,,"Caila Marsai Martin was born in Plano, Texas. Marsai's acting career started after a glamour pictorial.[2] The photographer gave them discount in exchange for her father's promise that he would submit the photos taken to talent agencies.[2] The photos were sent out to four agencies and one of these immediately signed her.[2] At age five, she landed her first national commercial for Choice Hotel.[3][better source needed] Her family then moved to Los Angeles in 2013 so she can pursue an acting career.[4]"
48,Fredric March,,,,"March is one of only two actors, the other being Helen Hayes, to have won both the Academy Award and the Tony Award twice."
49,Nizhalgal Ravi,1956-04-16,,,"Nizhalgal Ravi (born 16 April 1956) is an Indian actor who has performed in Tamil, Malayalam and Telugu films. He started his career in 1980 with the film Nizhalgal.[1] He has acted in 500 films.[2]"
50,D. Santosh,,,,"D. Santosh is an Indian film and theatre actor from Trichy, India."
51,Dasaradh,,,,"Dasharatha (Sanskrit: दशरथ, IAST Daśaratha) was a descendant of the Raghuvansha-Ikshvaku-Suryavansha dynasty and the Maharaja of Ayodhya as mentioned in the Hindu epic, the Ramayana."
52,Arthur C. Clarke,1917-12-16,Minehead,upload.wikimedia.org/wikipedia/commons/thumb/6/62/Arthur_C._Clarke_1965.jpg/450px-Arthur_C._Clarke_1965.jpg,"Sir Arthur Charles Clarke CBE FRAS (16 December 1917 – 19 March 2008) was a British science fiction writer, science writer and futurist,[3] inventor, undersea explorer, and television series host."
53,Omkar Das Manikpuri,,Bhilai,upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Omkar_Das_Manikpuri_as_Charandas_Chor.jpg/330px-Omkar_Das_Manikpuri_as_Charandas_Chor.jpg,"Omkar Das Manikpuri (born 1970) is an Indian stage and film actor. He is a native of Brindanagarm, currently residing in Bhilai, Chhattisgarh, who has been a member of folk-theatre doyen Habib Tanvir's, Naya Theatre company for several years. Manikpuri made his Hindi film debut as a male lead in Aamir Khan productions' Peepli Live  in 2010.[1][2]"
54,Sam Rockwell,1968-11-05,"Daly City, California",upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Sam_Rockwell_%2851492%29_%28cropped%29.jpg/330px-Sam_Rockwell_%2851492%29_%28cropped%29.jpg,"Sam Rockwell (born November 5, 1968) is an American actor. He first became known for his leading roles in Lawn Dogs (1997), Confessions of a Dangerous Mind (2002), Matchstick Men (2003), The Hitchhiker's Guide to the Galaxy (2005), Moon (2009), and Seven Psychopaths (2012). He has also played supporting roles in The Green Mile (1999), Galaxy Quest (1999), Frost/Nixon (2008), Iron Man 2 (2010), Conviction (2010), and The Way, Way Back (2013)."
55,William Peter Blatty,1928-01-07,New York City,upload.wikimedia.org/wikipedia/commons/thumb/4/44/William-Peter-Blatty-2009.jpg/330px-William-Peter-Blatty-2009.jpg,"William Peter Blatty (January 7, 1928 – January 12, 2017) was an American writer and filmmaker[1] best known for his 1971[1] novel The Exorcist and for the Academy Award-winning screenplay of its film adaptation. He also wrote and directed the sequel The Exorcist III.[1] After the success of The Exorcist, Blatty reworked Twinkle, Twinkle, ""Killer"" Kane! (1960) into a new novel titled The Ninth Configuration, published in 1978. Two years later, Blatty adapted the novel into a film of the same title and won Best Screenplay at the 38th Golden Globe Awards. Some of his other notable works are the novels Elsewhere (2009), Dimiter (2010) and Crazy (2010)."
56,Andrew Kevin Walker,1964-08-14,,,"Walker was born in Altoona, Pennsylvania, though some time during his childhood, he moved to Mechanicsburg, Pennsylvania, where he was raised. He attended the Mechanicsburg Area Senior High School until his graduation in 1972. Walker soon enrolled in Penn State University to pursue a career in film production. He graduated from Penn State in 1986, with a Bachelor of Arts in film and video.[1]"
57,Chris Claremont,1950-11-25,London,upload.wikimedia.org/wikipedia/commons/thumb/0/0b/10.8.16ChrisClaremontByLuigiNovi4.jpg/330px-10.8.16ChrisClaremontByLuigiNovi4.jpg,"During his tenure at Marvel, Claremont co-created numerous X-Men characters, such as Rogue, Psylocke, Shadowcat, Phoenix, The Brood, Lockheed, Shi'ar, Shi'ar Imperial Guard, Mystique, Destiny, Selene, Reverend William Stryker, Lady Mastermind, Emma Frost, Tessa, Siryn, Jubilee, Rachel Summers, Madelyne Pryor, Moira MacTaggert, Lilandra, Shadow King, Cannonball, Warpath, Mirage, Wolfsbane, Karma, Cypher, Sabretooth, Empath, Sebastian Shaw, Donald Pierce, Avalanche, Pyro, Legion, Nimrod,   Gateway, Strong Guy, Proteus, Mister Sinister, Marauders, Purifiers, Captain Britain, Sunspot, Forge and Gambit.  Claremont scripted many classic stories, including ""The Dark Phoenix Saga"" and ""Days of Future Past"", on which he collaborated with John Byrne.[6] He developed the character of Wolverine into a fan favorite. X-Men #1, the 1991 spinoff series premiere that Claremont co-wrote with Jim Lee, remains the best-selling comic book of all time, according to Guinness World Records. In 2015, Claremont and his X-Men collaborator John Byrne were entered into the Will Eisner Award Hall of Fame."
58,Samuel L. Jackson,1948-12-21,"Washington, D.C.",upload.wikimedia.org/wikipedia/commons/thumb/1/14/Samuel_L._Jackson_SDCC_2014_crop.jpg/330px-Samuel_L._Jackson_SDCC_2014_crop.jpg,"Samuel Leroy Jackson (born December 21, 1948) is an American actor and film producer. A recipient of critical acclaim and numerous accolades and awards, Jackson is the actor whose films have made the highest total gross revenue."
59,Matt Holloway,,,,Matt Holloway (born 16 January 1985) is New Zealand born rugby union player. He played for London Wasps A in the United Kingdom after playing for Counties Manukau Steelers in the 2009 Air New Zealand Cup on loan from Southland who he played for in 2007 and 2008.[1] He is still currently contracted with the Southland Stags but is likely to be released from his current contract so he is able to continue playing rugby in England.[2] He also played for the 2005 New Zealand Under-21s who finished third at the 2005 Under 21 Rugby World Championship.
60,Abhishek Varman,,,,Abhishek Varman is an Indian film director. His directorial debut was the romantic drama 2 States (2014).[1][2] He is the son of art director R. Varman.
61,Chris Nelson,,,,
